Metric,Baseline (Logistic Regression),XGBoost Model
Accuracy,0.811,0.864
Precision,0.5524475524475524,0.7137809187279152
Recall,0.2010178117048346,0.5139949109414759
F1-score,0.2947761194029851,0.5976331360946746
AUC-ROC,0.5805960247074267,0.7317952152716092
