Model,Accuracy,Precision,Recall,F1 Score,AUC-ROC
Logistic Regression,0.811,0.5524475524475524,0.2010178117048346,0.2947761194029851,0.7788602979015153
XGBoost,0.8665,0.7282608695652174,0.5114503816793893,0.600896860986547,0.8685696008715053
